source_id,kaynak_adi,arsiv_icerik_tarihi,bizim_cekme_tarihimiz,yas_gun,arsiv_indeksi,tazelik_uyarisi,guncel_veri_mi
source-0417,Justia Patents,2025-02-18,2026-09-03,584,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-18 tarihli, 584 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0494,Vrbo,2025-02-18,2026-09-03,584,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-18 tarihli, 584 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0552,Make,2025-02-18,2026-09-03,584,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-18 tarihli, 584 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0149,Sitejabber,2025-02-19,2026-09-03,583,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-19 tarihli, 583 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0163,AliExpress,2025-02-19,2026-09-03,583,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-19 tarihli, 583 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0242,X Ads Transparency Center,2025-02-19,2026-09-03,583,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-19 tarihli, 583 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0258,Craft.co,2025-02-19,2026-09-03,583,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-19 tarihli, 583 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0506,Uber Eats,2025-02-19,2026-09-03,583,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-19 tarihli, 583 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0539,LMSYS Chatbot Arena,2025-02-19,2026-09-03,583,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-19 tarihli, 583 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0576,Webrazzi,2025-02-19,2026-09-03,583,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-19 tarihli, 583 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0631,Endeavor Türkiye,2026-01-25,2026-09-03,243,CC-MAIN-2026-04,"ARŞİV — içerik 2026-01-25 tarihli, 243 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0340,IEEE Xplore,2026-04-15,2026-09-03,163,CC-MAIN-2026-17,arşiv — içerik 2026-04-15 tarihli (163 gün). Canlı veri değildir.,hayır
source-0259,Owler,2026-08-07,2026-09-03,49,CC-MAIN-2026-34,arşiv — içerik 2026-08-07 tarihli (49 gün). Canlı veri değildir.,hayır
source-0473,Idealista,2026-08-10,2026-09-03,46,CC-MAIN-2026-34,arşiv — içerik 2026-08-10 tarihli (46 gün). Canlı veri değildir.,hayır
source-0267,European e-Justice Business Registers,2026-08-11,2026-09-03,45,CC-MAIN-2026-34,arşiv — içerik 2026-08-11 tarihli (45 gün). Canlı veri değildir.,hayır
source-0396,Federal Register,2026-08-11,2026-09-03,45,CC-MAIN-2026-34,arşiv — içerik 2026-08-11 tarihli (45 gün). Canlı veri değildir.,hayır
source-0425,Orphanet,2026-08-11,2026-09-03,45,CC-MAIN-2026-34,arşiv — içerik 2026-08-11 tarihli (45 gün). Canlı veri değildir.,hayır
source-0151,Better Business Bureau,2026-08-13,2026-09-03,43,CC-MAIN-2026-34,arşiv — içerik 2026-08-13 tarihli (43 gün). Canlı veri değildir.,hayır
source-0587,Jotform,2026-08-14,2026-09-03,42,CC-MAIN-2026-34,arşiv — içerik 2026-08-14 tarihli (42 gün). Canlı veri değildir.,hayır
source-0365,OECD Health Statistics,2026-08-18,2026-09-03,38,CC-MAIN-2026-34,arşiv — içerik 2026-08-18 tarihli (38 gün). Canlı veri değildir.,hayır
source-0012,SerpAPI,2026-08-19,2026-09-03,37,CC-MAIN-2026-34,arşiv — içerik 2026-08-19 tarihli (37 gün). Canlı veri değildir.,hayır
