kategori,document_id,source_id,source_adi,belge_turu,icerik_durumu,url_yolu
yapay-zeka-urunu,doc-dc5755167021,source-0546,Smithery,sitemap,aday-kesif,/video-sitemap-1.xml
yeme-icme,doc-04a1f2fa54fa,source-0505,OpenTable,politika-dosyasi,politika,/robots.txt
yeme-icme,doc-14d14ed3b0cc,source-0506,Uber Eats,ana-sayfa,arsiv,/
yeme-icme,doc-17b292cac473,source-0510,Just Eat,belirsiz,gercek-icerik,/home/default.aspx
yeme-icme,doc-239a208466c6,source-0304,Foursquare,belirsiz,gercek-icerik,/products/
yeme-icme,doc-29d0f054895c,source-0511,Yemeksepeti,ana-sayfa,js-kabugu,/
yeme-icme,doc-2bda57a260ab,source-0304,Foursquare,sitemap,aday-kesif,/fs_products-sitemap.xml
yeme-icme,doc-33b048e68b30,source-0508,Grubhub,ana-sayfa,arsiv,/
yeme-icme,doc-3763bf9685fd,source-0304,Foursquare,besleme,besleme,/feed/
yeme-icme,doc-499a05176bac,source-0304,Foursquare,fiyatlandirma-sayfasi,gercek-icerik,/pricing/
yeme-icme,doc-54ef2e6a9f73,source-0304,Foursquare,sitemap,aday-kesif,/fs_video-sitemap.xml
yeme-icme,doc-5a1de88054d5,source-0506,Uber Eats,politika-dosyasi,politika,/robots.txt
yeme-icme,doc-81d1c6f37665,source-0157,Tripadvisor,ana-sayfa,arsiv,/
yerel-hizmet,doc-0158766c4fc1,source-0312,Nextdoor,ana-sayfa,gercek-icerik,/
yerel-hizmet,doc-177f67ba77af,source-0315,Houzz,ana-sayfa,gercek-icerik,/
yerel-hizmet,doc-36e66a60a31e,source-0309,TomTom,kullanim-senaryosu,gercek-icerik,/customers/
yerel-hizmet,doc-4870107df926,source-0317,Fresha,sitemap,aday-kesif,/sitemap.xml
yerel-hizmet,doc-54ef2e6a9f73,source-0304,Foursquare,sitemap,aday-kesif,/fs_video-sitemap.xml
yerel-hizmet,doc-6f5d3dd56462,source-0306,Yandex Maps,ana-sayfa,arsiv,/
yerel-hizmet,doc-77c04b310125,source-0319,Armut,liste-sayfasi,gercek-icerik,/hizmetveren/kiralik-vinc-kiralama-sepet-vinc-kiralama-kiralik-vinc-is
yerel-hizmet,doc-86b5783e2ae5,source-0304,Foursquare,forum-sayfasi,gercek-icerik,/developer/community/
yerel-hizmet,doc-9db7a0b10621,source-0318,Booksy,ana-sayfa,gercek-icerik,/en-us/
yerel-hizmet,doc-b0124bcad21d,source-0314,Angi,ana-sayfa,arsiv,/
yerel-hizmet,doc-d1543d4ddf34,source-0315,Houzz,fiyatlandirma-sayfasi,gercek-icerik,/houzz-pro/pricing
yerel-hizmet,doc-d9045db8406c,source-0308,MapQuest,ana-sayfa,arsiv,/
